PC  | CMD  | XYZ | P   | R0  | R1  | R2  | R3  | ZCNO
094 | LDC  | 200 | 002 | 801 | 7FF | 002 | 000 | FFFF
096 | SUB  | 001 | --- | 002 | 7FF | 002 | 000 | FTTT
097 | JZ   | 000 | 0E4 | 002 | 7FF | 002 | 000 | FTTT
099 | JNC  | 000 | 0E4 | 002 | 7FF | 002 | 000 | FTTT
09B | JNN  | 000 | 0E4 | 002 | 7FF | 002 | 000 | FTTT
09D | JNO  | 000 | 0E4 | 002 | 7FF | 002 | 000 | FTTT
09F | SUB  | 002 | --- | 000 | 7FF | 002 | 000 | TTFF
0A0 | JNZ  | 000 | 0E4 | 000 | 7FF | 002 | 000 | TTFF
0A2 | LDC  | 000 | 001 | 001 | 7FF | 002 | 000 | FTFF
0A4 | LDC  | 100 | 000 | 001 | 000 | 002 | 000 | TTFF
0A6 | LDC  | 200 | 000 | 001 | 000 | 000 | 000 | TTFF
0A8 | LDC  | 300 | 800 | 001 | 000 | 000 | 800 | FTTF
0AA | SLL  | 330 | --- | 001 | 000 | 000 | 000 | TTFF
0AB | SUBC | 001 | --- | 000 | 000 | 000 | 000 | TTFF
0AC | JNZ  | 000 | 0E4 | 000 | 000 | 000 | 000 | TTFF
0AE | JNC  | 000 | 0E4 | 000 | 000 | 000 | 000 | TTFF
0B0 | JN   | 000 | 0E4 | 000 | 000 | 000 | 000 | TTFF
0B2 | JO   | 000 | 0E4 | 000 | 000 | 000 | 000 | TTFF
0B4 | SUB  | 002 | --- | 000 | 000 | 000 | 000 | TFFF
0B5 | JNZ  | 000 | 0E4 | 000 | 000 | 000 | 000 | TFFF
0B7 | LDC  | 000 | 001 | 001 | 000 | 000 | 000 | FFFF
0B9 | LDC  | 100 | 000 | 001 | 000 | 000 | 000 | TFFF
0BB | LDC  | 200 | 001 | 001 | 000 | 001 | 000 | FFFF
0BD | LDC  | 300 | 000 | 001 | 000 | 001 | 000 | TFFF
0BF | SLL  | 330 | --- | 001 | 000 | 001 | 000 | TFFF
0C0 | SUBC | 001 | --- | 001 | 000 | 001 | 000 | FFFF
0C1 | JZ   | 000 | 0E4 | 001 | 000 | 001 | 000 | FFFF
0C3 | JC   | 000 | 0E4 | 001 | 000 | 001 | 000 | FFFF
0C5 | JN   | 000 | 0E4 | 001 | 000 | 001 | 000 | FFFF
